ipv4_address_id,device_id,ipv4_address,ipv4_prefixlen,ipv4_type,ipv4_network_id,vrf_id,port_id,ifIndex,ipv4_network
23198,2605,1.1.1.1,24,unicast,7141,,58306,15,1.1.1.0/24
23194,2470,1.1.2.1,24,unicast,7140,,54149,13,1.1.2.0/24
118085,5266,4.4.4.2,24,unicast,17302,,229512,7,4.4.4.0/24
45595,1000,5.5.5.1,24,unicast,11241,,18423,10,5.5.5.0/24
71156,5887,10.0.0.1,16,private,15987,,188712,7,10.0.0.0/16
74409,6173,10.0.0.1,24,private,16539,,195092,3,10.0.0.0/24
111824,8438,10.0.0.2,30,private,22246,,283711,1,10.0.0.0/30
111834,8440,10.0.0.3,24,private,16539,,283722,1,10.0.0.0/24
56733,5218,10.0.1.1,30,private,13981,,154052,9,10.0.1.0/30
66105,4547,10.0.3.33,28,private,15351,,183520,44,10.0.3.32/28
116037,8573,10.0.3.33,28,private,15351,,291325,44,10.0.3.32/28
96129,6688,10.0.6.1,24,private,19651,,229802,8,10.0.6.0/24
72102,6039,10.0.10.1,24,private,16244,,192163,11,10.0.10.0/24
92941,7372,10.0.10.1,24,private,16244,,253156,11,10.0.10.0/24
105475,4547,10.0.19.1,28,private,21317,,129786,27,10.0.19.0/28
116038,8573,10.0.19.1,28,private,21317,,291311,27,10.0.19.0/28
72103,6039,10.0.20.1,24,private,16245,,192164,12,10.0.20.0/24
117987,7372,10.0.20.1,24,private,16245,,253157,12,10.0.20.0/24
72111,6039,10.0.30.1,24,private,16253,,192165,14,10.0.30.0/24
92950,7372,10.0.30.1,24,private,16253,,253158,14,10.0.30.0/24
128815,7372,10.0.90.10,32,private,25001,,253157,12,10.0.90.10/32
128817,6039,10.0.90.10,32,private,25001,,192164,12,10.0.90.10/32
38352,3496,10.0.190.1,24,private,10197,,114701,13,10.0.190.0/24
133539,3932,10.1.0.1,24,private,712,,390343,21,10.1.0.0/24
93626,7424,10.1.0.238,24,private,712,,0,4,10.1.0.0/24
89887,7218,10.1.0.240,24,private,712,,0,4,10.1.0.0/24
33292,3479,10.1.0.242,24,private,712,,0,4,10.1.0.0/24
116802,8642,10.1.0.250,24,private,712,,0,4,10.1.0.0/24
34892,3712,10.1.0.252,24,private,712,,0,4,10.1.0.0/24
71988,6030,10.1.1.1,29,private,15559,,192019,33,10.1.1.0/29
106171,7910,10.1.1.10,32,private,6428,,270907,14,10.1.1.10/32
19674,2268,10.1.1.11,32,private,6413,,51855,15,10.1.1.11/32
69389,5799,10.1.1.18,32,private,15793,,186931,10,10.1.1.18/32
93223,6538,10.1.1.19,32,private,19140,,224478,15,10.1.1.19/32
68585,1561,10.1.1.20,32,private,15673,,160521,18,10.1.1.20/32
68589,1943,10.1.1.23,32,private,15677,,46031,11,10.1.1.23/32
93227,2377,10.1.1.24,32,private,19143,,53004,10,10.1.1.24/32
125858,2291,10.1.1.26,32,private,24442,,117471,14,10.1.1.26/32
48472,1559,10.1.1.31,32,private,11291,,37275,15,10.1.1.31/32
121131,7911,10.1.1.31,32,private,11291,,300700,14,10.1.1.31/32
33564,1616,10.1.1.32,32,private,9472,,39444,15,10.1.1.32/32
38088,2378,10.1.1.41,32,private,10165,,114335,14,10.1.1.41/32
133328,1568,10.1.1.51,32,private,25705,,38112,15,10.1.1.51/32
125847,5608,10.1.1.61,32,private,24436,,180285,16,10.1.1.61/32
125850,1570,10.1.1.64,32,private,24439,,110254,8,10.1.1.64/32
134762,4616,10.1.1.76,32,private,25879,,296037,17,10.1.1.76/32
125849,3773,10.1.1.78,32,private,24438,,110451,14,10.1.1.78/32
63572,2875,10.1.1.96,32,private,14939,,80367,17,10.1.1.96/32
53282,2807,10.1.1.111,32,private,13019,,142810,16,10.1.1.111/32
8319,360,10.1.2.99,24,private,717,,6538,1,10.1.2.0/24
133558,3932,10.1.4.1,24,private,718,,111903,3,10.1.4.0/24
111464,897,10.1.4.2,24,private,718,,0,5,10.1.4.0/24
119926,5069,10.1.4.3,24,private,718,,0,5,10.1.4.0/24
130209,5226,10.1.4.10,24,private,718,,154699,3,10.1.4.0/24
130210,5226,10.1.5.1,24,private,719,,271897,13,10.1.5.0/24
131240,338,10.1.5.99,24,private,719,,6159,1,10.1.5.0/24
114404,8527,10.1.5.198,24,private,719,,0,4,10.1.5.0/24
47844,3800,10.1.5.236,24,private,719,,0,4,10.1.5.0/24
114154,6247,10.1.5.240,24,private,719,,0,4,10.1.5.0/24
131253,7466,10.1.5.244,24,private,719,,0,4,10.1.5.0/24
87309,7050,10.1.5.246,24,private,719,,0,4,10.1.5.0/24
43657,2859,10.1.5.248,24,private,719,,0,4,10.1.5.0/24
129227,3010,10.1.5.252,24,private,719,,0,4,10.1.5.0/24
133559,3932,10.1.6.1,24,private,5152,,390345,23,10.1.6.0/24
50365,1366,10.1.6.2,24,private,5152,,0,9,10.1.6.0/24
88379,1891,10.1.6.3,24,private,5152,,0,9,10.1.6.0/24
15945,1370,10.1.6.4,24,private,5152,,32694,5,10.1.6.0/24
101005,5061,10.1.6.253,24,private,5152,,265949,7,10.1.6.0/24
61603,5020,10.1.7.14,30,private,12438,,142281,7,10.1.7.12/30
66525,566,10.1.7.18,30,private,13118,,9296,6,10.1.7.16/30
133390,9210,10.1.7.22,30,private,25323,,389563,4,10.1.7.20/30
97499,7623,10.1.7.26,30,private,19790,,260129,5,10.1.7.24/30
101675,7959,10.1.7.30,30,private,20657,,267021,3,10.1.7.28/30
119307,8303,10.1.7.34,30,private,24744,,277144,1,10.1.7.32/30
131196,8461,10.1.7.38,30,private,25319,,284822,1,10.1.7.36/30
106503,8243,10.1.7.236,24,private,10021,,0,4,10.1.7.0/24
101677,7960,10.1.7.238,24,private,10021,,0,4,10.1.7.0/24
112355,8460,10.1.7.242,24,private,10021,,0,4,10.1.7.0/24
125760,6702,10.1.7.244,24,private,10021,,0,4,10.1.7.0/24
88387,5068,10.1.7.246,24,private,10021,,0,4,10.1.7.0/24
50309,4869,10.1.7.248,24,private,10021,,0,4,10.1.7.0/24
41068,4167,10.1.7.250,24,private,10021,,0,4,10.1.7.0/24
130526,4075,10.1.8.1,30,private,22353,,122972,17,10.1.8.0/30
112415,8462,10.1.8.2,30,private,22353,,284917,1,10.1.8.0/30
117532,4075,10.1.8.5,30,private,23146,,122972,17,10.1.8.4/30
135032,9284,10.1.8.6,30,private,23146,,402959,1,10.1.8.4/30
43029,4075,10.1.8.9,30,private,6336,,122972,17,10.1.8.8/30
19382,2162,10.1.8.10,30,private,6336,,50474,2,10.1.8.8/30
121827,4075,10.1.8.13,30,private,8170,,122972,17,10.1.8.12/30
122194,8880,10.1.8.14,30,private,8170,,302903,3,10.1.8.12/30
40790,4138,10.1.8.18,30,private,9456,,118576,3,10.1.8.16/30
43032,4075,10.1.8.25,30,private,10203,,122972,17,10.1.8.24/30
